#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
1000	0	980	20	1000	0	919	81	0.002143502041863245	7.5	34.2
2000	0	1964	36	1000	0	960	40	0.0018046840950604074	5.9	27.0
3000	0	2921	79	1000	0	927	73	0.0017605887813639466	6.1	33.5
4000	0	3902	98	1000	0	981	19	0.0017605887813639466	5.1	27.4
5000	0	4870	130	1000	0	972	28	0.0014889898407973224	5.2	29.3
6000	0	5840	160	1000	0	986	14	0.0014889898407973224	5.1	27.4
7000	0	6811	189	1000	0	999	1	0.0012929299368243555	4.7	24.9
8000	0	7785	215	1000	0	993	7	0.0012929299368243555	4.9	27.0
9000	0	8762	238	1000	0	980	20	0.0010478743589386209	4.6	23.8
10000	0	9746	254	1000	0	983	17	0.0010478743589386209	5.0	26.1
11000	0	10714	286	1000	0	990	10	0.0010478743589386209	4.6	24.4
12000	0	11690	310	1000	0	986	14	0.0010478743589386209	5.1	28.3
13000	0	12656	344	1000	0	926	74	0.0009862975260193968	6.7	39.0
14000	0	13622	378	1000	0	993	7	0.0009862975260193968	4.9	26.4
15000	0	14599	401	1000	0	994	6	0.0009862975260193968	5.0	27.3
16000	0	15563	437	1000	0	956	44	0.0009862975260193968	5.4	28.6
17000	0	16534	466	1000	0	992	8	0.0009862975260193968	4.8	24.6
18000	0	17503	497	1000	0	840	160	0.0008063325590069267	8.4	46.6
19000	0	18467	533	1000	0	806	194	0.0008063325590069267	9.2	51.8
20000	0	19437	563	1000	0	816	184	0.0008063325590069267	9.0	49.7
21000	0	20406	594	1000	0	790	210	0.0008063325590069267	9.6	54.1
22000	0	21384	616	1000	0	855	145	0.0008063325590069267	8.5	48.7
23000	0	22349	651	1000	0	802	198	0.0007225917008799851	9.8	56.0
24000	0	23315	685	1000	0	838	162	0.0007225917008799851	9.4	51.6
25000	0	24276	724	1000	0	849	151	0.0007225917008799851	8.9	48.4
26000	0	25228	772	1000	0	867	133	0.0007225917008799851	8.9	49.0
27000	0	26182	818	1000	0	763	237	0.0007225917008799851	10.4	58.9
28000	0	27143	857	1000	0	820	180	0.000670585174622329	9.8	56.0
29000	0	28107	893	1000	0	807	193	0.000670585174622329	9.6	54.2
30000	0	29062	938	1000	0	743	257	0.000670585174622329	11.1	61.6
31000	0	30007	993	1000	0	772	228	0.0005889635659959871	10.4	58.4
32000	0	30944	1056	1000	0	765	235	0.0005889635659959871	10.5	59.2
33000	0	31901	1099	1000	0	771	229	0.0005889635659959871	9.8	55.3
34000	0	32858	1142	1000	0	740	260	0.0005582858464612705	10.8	61.6
35000	0	33831	1169	1000	0	738	262	0.0004901988211094951	10.9	61.3
36000	1	34793	1206	1000	0	694	306	0.0004745543541048767	11.7	66.1
37000	1	35749	1250	1000	0	828	172	0.0004745543541048767	9.3	52.2
38000	1	36724	1275	1000	0	841	159	0.00041695664853930354	8.9	51.4
39000	1	37698	1301	1000	0	605	395	0.00041695664853930354	13.0	75.6
40000	1	38660	1339	1000	0	719	281	0.00041695664853930354	11.7	67.1
41000	1	39598	1401	1000	0	699	301	0.00041695664853930354	11.5	66.1
42000	1	40544	1455	1000	0	805	195	0.00041695664853930354	9.9	60.5
43000	1	41497	1502	1000	0	740	260	0.00041695664853930354	11.1	65.8
44000	1	42455	1544	1000	0	731	269	0.00041695664853930354	11.1	64.6
45000	1	43417	1582	1000	0	765	235	0.00041695664853930354	10.6	60.4
46000	1	44353	1646	1000	0	679	321	0.00041695664853930354	12.1	71.7
47000	1	45294	1705	1000	0	773	227	0.00041695664853930354	10.6	61.6
48000	1	46247	1752	1000	0	696	304	0.00041695664853930354	11.8	68.8
49000	1	47158	1841	1000	0	728	272	0.00041695664853930354	11.6	67.6
50000	1	48089	1910	1000	0	651	349	0.00041695664853930354	12.3	72.1
51000	1	49016	1983	1000	0	638	362	0.00041695664853930354	12.8	74.5
52000	1	49964	2035	1000	0	746	254	0.00041695664853930354	10.8	63.5
53000	1	50923	2076	1000	0	699	301	0.00041695664853930354	12.0	69.5
54000	1	51885	2114	1000	0	721	279	0.00041695664853930354	11.6	66.6
55000	1	52826	2173	1000	0	744	256	0.00041695664853930354	11.1	63.3
56000	1	53756	2243	1000	0	780	220	0.00041695664853930354	10.6	61.5
57000	1	54706	2293	1000	0	710	290	0.00041695664853930354	11.9	69.0
58000	1	55639	2360	1000	0	733	267	0.00041695664853930354	11.5	66.3
59000	1	56587	2412	1000	0	621	379	0.00041695664853930354	13.1	76.2
60000	1	57509	2490	1000	0	695	305	0.00041695664853930354	12.6	72.6
61000	1	58423	2576	1000	0	791	209	0.00041695664853930354	10.9	62.6
62000	1	59366	2633	1000	0	643	357	0.00041695664853930354	12.9	75.6
63000	1	60332	2667	1000	0	699	301	0.00041695664853930354	11.7	68.1
64000	1	61281	2718	1000	0	639	361	0.00041695664853930354	12.9	75.4
65000	1	62211	2788	1000	0	625	375	0.00041695664853930354	13.7	81.1
66000	1	63132	2867	1000	0	713	287	0.00041695664853930354	12.1	70.3
67000	1	64084	2915	1000	0	657	343	0.00041695664853930354	12.7	73.4
68000	1	65029	2970	1000	0	710	290	0.00041695664853930354	11.7	69.1
69000	2	65980	3018	1000	0	702	298	0.00041695664853930354	11.7	67.4
70000	2	66935	3063	1000	0	775	225	0.00041695664853930354	10.8	61.1
71000	2	67869	3129	1000	0	704	296	0.00041695664853930354	11.5	66.6
72000	2	68806	3192	1000	0	656	344	0.00041695664853930354	12.4	72.5
73000	3	69734	3263	1000	0	713	287	0.00041695664853930354	12.5	71.5
74000	3	70676	3321	1000	0	725	275	0.00041695664853930354	11.9	70.2
75000	3	71622	3375	1000	0	719	281	0.00041695664853930354	11.2	66.5
76000	3	72578	3419	1000	0	798	202	0.00041695664853930354	10.2	58.6
77000	3	73539	3458	1000	0	733	267	0.00041695664853930354	11.6	67.7
78000	3	74470	3527	1000	0	653	347	0.00041695664853930354	12.3	72.8
79000	3	75402	3595	1000	0	786	214	0.00031431248144250356	9.2	53.5
80000	3	76345	3652	1000	0	834	166	0.00031431248144250356	8.4	47.7
81000	3	77283	3714	1000	0	828	172	0.00031431248144250356	8.1	46.8
82000	3	78223	3774	1000	0	781	219	0.00031431248144250356	9.5	53.6
83000	3	79165	3832	1000	0	757	243	0.00031431248144250356	9.9	55.6
84000	3	80119	3878	1000	0	807	193	0.00031431248144250356	8.8	50.0
85000	3	81089	3908	1000	0	795	205	0.00031431248144250356	8.9	51.5
86000	3	82041	3956	1000	0	884	116	0.00031431248144250356	7.7	43.1
87000	3	82992	4005	1000	0	832	168	0.00031431248144250356	9.0	54.2
88000	3	83953	4044	1000	0	880	120	0.00031431248144250356	7.7	43.1
89000	3	84917	4080	1000	0	841	159	0.00029854158208573203	8.6	48.4
90000	3	85861	4136	1000	0	827	173	0.00029854158208573203	8.4	48.4
91000	3	86812	4185	1000	0	859	141	0.00029854158208573203	8.2	46.7
92000	3	87758	4239	1000	0	890	110	0.00029854158208573203	7.3	41.1
93000	3	88716	4281	1000	0	831	169	0.00029854158208573203	9.1	53.1
94000	3	89674	4323	1000	0	902	98	0.00029854158208573203	7.4	42.4
95000	3	90635	4362	1000	0	821	179	0.00029854158208573203	7.9	45.5
96000	3	91576	4421	1000	0	873	127	0.00029854158208573203	7.6	43.1
97000	3	92518	4479	1000	0	868	132	0.00029854158208573203	7.5	42.4
98000	3	93471	4526	1000	0	889	111	0.00029854158208573203	8.1	45.1
99000	3	94419	4578	1000	0	892	108	0.00029854158208573203	7.2	40.7
100000	3	95357	4640	1000	0	846	154	0.00029854158208573203	8.3	46.8
duration: 14669.5s
