#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	97	3	100	0	94	6	0.0037580233748221465	6.2	3.4
200	0	195	5	100	0	93	7	0.0037580233748221465	6.3	3.4
300	0	293	7	100	0	97	3	0.003187347978125389	4.3	2.3
400	0	391	9	100	0	100	0	0.003187347978125389	3.9	2.1
500	0	490	10	100	0	100	0	0.0031482642796748996	4.0	2.1
600	0	588	12	100	0	96	4	0.00278022815101426	5.2	2.8
700	0	688	12	100	0	99	1	0.00278022815101426	4.5	2.4
800	0	786	14	100	0	98	2	0.00278022815101426	4.5	2.4
900	0	884	16	100	0	87	13	0.00278022815101426	6.4	3.4
1000	0	983	17	100	0	100	0	0.00272215935222746	4.2	2.3
duration: 136.1s
