#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	4	95	1	100	0	100	0	0.0008683834795498277	3.0	0.8
200	4	193	3	100	0	100	0	0.000853291171813634	3.0	0.8
300	6	290	4	100	0	100	0	0.0008455926793633057	3.0	0.8
400	8	387	5	100	0	100	0	0.0007927627561095665	3.0	0.8
500	9	484	7	100	0	100	0	0.0007927627561095665	4.0	1.1
600	11	582	7	100	0	100	0	0.0007404583466649345	3.0	0.9
700	11	682	7	100	0	100	0	0.0007404583466649345	3.0	0.8
800	11	782	7	100	0	100	0	0.0007404583466649345	3.0	0.8
900	13	880	7	100	0	100	0	0.0007404583466649345	4.0	1.1
1000	14	979	7	100	0	100	0	0.0007404583466649345	3.0	0.8
duration: 39.2s
