#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	1	99	0	100	0	0	100	0.0017207463636438086	14.0	3.9
200	4	195	1	100	0	0	100	0.0016825109460415816	14.0	4.5
300	6	292	2	100	0	4	96	0.0016825109460415816	13.5	4.2
400	6	391	3	100	0	0	100	0.0016825109460415816	14.0	4.4
500	8	489	3	100	0	2	98	0.001647257105029247	13.8	4.4
600	9	588	3	100	0	100	0	0.001647257105029247	3.0	0.8
700	10	687	3	100	0	2	98	0.001647257105029247	13.8	4.2
800	11	786	3	100	0	2	98	0.001647257105029247	13.8	4.4
900	14	882	4	100	0	0	100	0.001647257105029247	14.0	4.4
1000	17	978	5	100	0	0	100	0.001647257105029247	14.0	4.4
duration: 70.3s
