#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	99	1	100	0	99	1	0.0033327972127071073	4.9	2.7
200	0	199	1	100	0	97	3	0.002911886040653057	5.4	3.0
300	0	294	6	100	0	96	4	0.0025517509646396028	5.8	3.2
400	0	392	8	100	0	99	1	0.0025186635905456983	3.9	2.2
500	0	490	10	100	0	100	0	0.002467332929426936	4.6	2.6
600	0	588	12	100	0	98	2	0.002467332929426936	4.4	2.5
700	0	686	14	100	0	98	2	0.002467332929426936	7.1	4.1
800	0	784	16	100	0	91	9	0.002467332929426936	7.3	4.0
900	0	881	19	100	0	95	5	0.002467332929426936	5.8	3.3
1000	0	975	25	100	0	98	2	0.002399644771149399	6.0	3.3
duration: 149.4s
