#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	97	3	100	0	0	100	0.0014962344899834825	9.0	2.5
200	3	193	4	100	0	0	100	0.0012793198347471996	9.0	2.8
300	4	290	6	100	0	0	100	0.0010071998459071424	9.0	2.9
400	8	385	7	100	0	76	24	0.0010071998459071424	5.3	1.5
500	12	481	7	100	0	1	99	0.0010071998459071424	8.9	3.0
600	13	578	9	100	0	2	98	0.0010071998459071424	8.9	2.8
700	14	677	9	100	0	100	0	0.0010071998459071424	4.0	1.1
800	14	776	10	100	0	92	8	0.0010071998459071424	3.5	1.0
900	16	874	10	100	0	97	3	0.0010071998459071424	3.9	1.1
1000	16	974	10	100	0	0	100	0.0010071998459071424	9.0	2.8
duration: 53.5s
