#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	4	95	1	100	0	100	0	0.000905981521874542	3.0	0.8
200	7	190	3	100	0	100	0	0.000905981521874542	4.0	1.1
300	11	286	3	100	0	100	0	0.0007341504559251078	3.0	0.8
400	16	380	4	100	0	100	0	0.0007341504559251078	3.0	0.8
500	17	479	4	100	0	100	0	0.000673384974489432	3.0	0.8
600	20	576	4	100	0	100	0	0.000673384974489432	3.0	0.9
700	21	674	5	100	0	100	0	0.000673384974489432	3.0	0.9
800	22	773	5	100	0	100	0	0.000673384974489432	3.1	0.9
900	23	872	5	100	0	100	0	0.000673384974489432	3.0	0.9
1000	24	971	5	100	0	100	0	0.000673384974489432	3.0	0.8
duration: 38.0s
