#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	5	90	5	100	0	100	0	0.0007528606797466669	3.2	1.0
200	7	188	5	100	0	100	0	0.0006303417662602924	3.1	0.9
300	8	285	7	100	0	100	0	0.0005956512284316658	3.0	0.9
400	11	381	8	100	0	98	2	0.0005956512284316658	3.7	1.2
500	13	478	9	100	0	100	0	0.0005956512284316658	3.2	1.0
600	16	574	10	100	0	100	0	0.0005956512284316658	3.0	0.9
700	16	674	10	100	0	100	0	0.0005956512284316658	3.0	0.9
800	16	774	10	100	0	100	0	0.0005956512284316658	4.9	1.5
900	18	872	10	100	0	100	0	0.0005956512284316658	5.0	1.5
1000	20	970	10	100	0	100	0	0.0005956512284316658	3.0	0.9
duration: 40.9s
