#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	2	97	1	100	0	100	0	0.0013099106984961523	3.0	0.9
200	3	196	1	100	0	99	1	0.0013099106984961523	3.1	0.9
300	6	293	1	100	0	100	0	0.0013099106984961523	3.0	0.9
400	8	391	1	100	0	100	0	0.0013099106984961523	3.0	0.9
500	10	488	2	100	0	99	1	0.0013099106984961523	3.1	0.9
600	10	588	2	100	0	28	72	0.0012989359204674034	7.6	2.5
700	11	687	2	100	0	100	0	0.0012989359204674034	3.0	0.9
800	12	786	2	100	0	88	12	0.0012989359204674034	4.1	1.2
900	15	883	2	100	0	30	70	0.0012989359204674034	7.2	2.3
1000	17	981	2	100	0	1	99	0.0012989359204674034	8.9	3.0
duration: 44.8s
