#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	1	95	4	100	0	100	0	0.0006976727482475866	3.0	0.8
200	2	193	5	100	0	97	3	0.0006976727482475866	4.5	1.2
300	4	286	10	100	0	100	0	0.0006529959910802644	3.0	0.8
400	5	384	11	100	0	100	0	0.0006529959910802644	3.0	0.8
500	8	481	11	100	0	100	0	0.0006529959910802644	3.0	0.8
600	9	580	11	100	0	100	0	0.0006529959910802644	3.0	0.9
700	9	680	11	100	0	100	0	0.0006529959910802644	3.0	0.8
800	9	780	11	100	0	100	0	0.0006529959910802644	4.0	1.1
900	9	880	11	100	0	100	0	0.0006529959910802644	4.0	1.1
1000	10	979	11	100	0	100	0	0.0006529959910802644	3.0	0.8
duration: 37.6s
