#of-trainings	white-training-won	#black-training-won	draw-training	#of-test-games	white-test-won	black-test-won	draw-test	best-loss	average-rounds-played	duration
100	3	96	1	100	0	100	0	0.000686735163634456	3.0	0.8
200	7	190	3	100	0	100	0	0.000686735163634456	3.0	0.8
300	7	289	4	100	0	100	0	0.000686735163634456	3.0	0.8
400	11	385	4	100	0	95	5	0.000686735163634456	3.6	1.0
500	12	484	4	100	0	95	5	0.000686735163634456	3.5	1.0
600	14	581	5	100	0	96	4	0.000686735163634456	3.4	0.9
700	14	681	5	100	0	99	1	0.000686735163634456	3.2	0.9
800	15	780	5	100	0	1	99	0.000686735163634456	11.0	3.6
900	16	879	5	100	0	1	99	0.000686735163634456	10.9	3.7
1000	17	978	5	100	0	77	23	0.000686735163634456	5.0	1.4
duration: 46.6s
