#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	99	1	100	0	94	6	0.013564399205714471	9.3	5.0
200	0	197	3	100	0	95	5	0.013564399205714471	6.8	3.7
300	0	292	8	100	0	94	6	0.013564399205714471	8.7	4.8
400	0	389	11	100	0	91	9	0.013564399205714471	7.4	4.1
500	0	486	14	100	0	94	6	0.013564399205714471	5.8	3.1
600	0	582	18	100	0	91	9	0.013564399205714471	6.0	3.3
700	0	679	21	100	0	95	5	0.013564399205714471	6.2	3.4
800	0	767	33	100	0	83	17	0.013564399205714471	8.5	4.7
900	0	862	38	100	0	90	10	0.013564399205714471	6.9	3.8
1000	0	957	43	100	0	93	7	0.013564399205714471	6.7	3.6
duration: 138.2s
