#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
1000	0	979	21	1000	0	995	5	0.002574766340148926	5.3	29.0
2000	0	1961	39	1000	0	996	4	0.0021220812549854096	5.3	32.5
3000	0	2932	68	1000	0	1000	0	0.001672785209004889	4.6	28.3
4000	0	3895	105	1000	0	999	1	0.0015603535796454748	4.6	30.8
5000	0	4866	134	1000	0	1000	0	0.0015575316653008986	4.7	29.8
6000	0	5835	165	1000	0	996	4	0.0012317878908739222	4.5	28.0
7000	0	6811	189	1000	0	993	7	0.0012019056123209746	4.8	29.2
8000	0	7774	226	1000	0	993	7	0.0011104710362568704	5.0	31.1
9000	0	8754	246	1000	0	994	6	0.0010122039285201574	4.3	26.7
10000	0	9727	273	1000	0	993	7	0.0008887830167295903	4.3	26.1
11000	0	10698	302	1000	0	998	2	0.0007344009256491381	4.3	26.3
12000	0	11673	327	1000	0	990	10	0.0006184252400431439	4.6	28.4
13000	0	12643	357	1000	0	991	9	0.0005403640198318725	4.5	27.4
14000	0	13610	390	1000	0	952	48	0.0005403640198318725	5.4	33.2
15000	0	14572	428	1000	0	954	46	0.000465140644671612	5.3	32.7
16000	0	15545	455	1000	0	866	134	0.000465140644671612	6.8	42.4
17000	0	16513	487	1000	0	913	87	0.000465140644671612	6.2	37.9
18000	0	17490	510	1000	0	895	105	0.00046156389541073407	6.2	38.9
19000	0	18445	555	1000	0	834	166	0.00046156389541073407	7.4	46.7
20000	0	19410	590	1000	0	815	185	0.00046156389541073407	7.5	47.3
21000	0	20361	639	1000	0	815	185	0.00046156389541073407	7.7	47.4
22000	0	21313	687	1000	0	862	138	0.00046156389541073407	6.7	41.5
23000	0	22255	745	1000	0	680	320	0.00046156389541073407	9.7	61.7
24000	1	23180	819	1000	0	872	128	0.00046156389541073407	7.2	44.8
25000	2	24121	877	1000	0	696	304	0.00046156389541073407	9.3	58.2
26000	2	25075	923	1000	0	765	235	0.00046156389541073407	8.4	54.6
27000	2	26010	988	1000	0	744	256	0.00046156389541073407	8.7	54.2
28000	3	26948	1049	1000	0	714	286	0.00046156389541073407	9.3	58.2
29000	3	27889	1108	1000	0	817	183	0.00046156389541073407	7.3	45.7
30000	3	28825	1172	1000	0	914	86	0.0004319213228771668	6.0	37.2
31000	3	29779	1218	1000	0	880	120	0.0004319213228771668	6.6	41.3
32000	3	30746	1251	1000	0	878	122	0.0004319213228771668	6.6	40.6
