#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration	promotions
1000	0	997	3	1000	0	720	280	0.00046157490080993014	11.2	65.4	8
2000	0	1992	8	1000	0	873	127	0.0004241866221112293	8.3	48.3	9
3000	0	2988	12	1000	0	661	339	0.0003824778151936012	11.5	66.9	15
4000	0	3986	14	1000	0	647	353	0.00031072354723890436	12.4	82.6	10
5000	0	4976	24	1000	0	639	361	0.00031072354723890436	12.6	87.8	22
6000	0	5969	31	1000	0	608	392	0.00031072354723890436	12.7	87.9	15
7000	0	6965	35	1000	0	440	560	0.00031020309453428854	13.5	92.9	9
8000	0	7959	41	1000	0	438	562	0.00031020309453428854	13.4	96.1	12
9000	0	8947	53	1000	0	653	347	0.0003036340745066295	12.8	83.6	16
10000	0	9938	62	1000	0	683	317	0.0003036340745066295	12.5	73.7	18
11000	0	10931	69	1000	0	560	440	0.00030257941977986704	11.4	74.2	13
12000	0	11927	73	1000	0	658	342	0.00029102772017338335	11.9	66.2	13
13000	0	12924	76	1000	0	836	164	0.00019460692765726437	10.9	70.9	9
14000	0	13915	85	1000	0	841	159	0.00019460692765726437	10.5	73.7	21
15000	0	14908	92	1000	0	826	174	0.00019460692765726437	10.8	74.2	20
16000	0	15901	99	1000	0	834	166	0.00019460692765726437	11.0	79.4	10
17000	0	16895	105	1000	0	819	181	0.00019460692765726437	10.9	84.7	10
18000	0	17889	111	1000	0	827	173	0.00019460692765726437	11.1	78.9	10
19000	0	18885	115	1000	0	846	154	0.00019460692765726437	10.9	78.4	12
20000	0	19877	123	1000	0	664	336	0.0001864670306445847	12.2	89.6	14
21000	0	20874	126	1000	0	694	306	0.0001864670306445847	12.0	85.4	18
22000	0	21869	131	1000	0	657	343	0.0001864670306445847	12.7	110.0	9
23000	0	22862	138	1000	0	691	309	0.0001864670306445847	12.3	84.3	19
24000	0	23854	146	1000	0	665	335	0.0001864670306445847	12.3	85.2	24
25000	0	24847	153	1000	0	676	324	0.0001864670306445847	12.2	83.6	13
26000	0	25840	160	1000	0	676	324	0.0001864670306445847	11.9	81.3	13
27000	0	26836	164	1000	0	679	321	0.0001864670306445847	12.1	81.7	10
