#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	97	3	100	0	94	6	0.0038556751778335715	7.1	3.8
200	0	195	5	100	0	93	7	0.0035079179816176276	5.8	3.1
300	0	293	7	100	0	97	3	0.0032515370790830622	4.1	2.2
400	0	393	7	100	0	97	3	0.003102225640222161	4.0	2.1
500	0	492	8	100	0	98	2	0.003102225640222161	4.9	2.7
600	0	590	10	100	0	100	0	0.003102225640222161	3.8	2.0
700	0	687	13	100	0	100	0	0.002787293527432915	3.8	2.1
800	0	784	16	100	0	99	1	0.0027249576571249166	3.6	1.9
900	0	882	18	100	0	99	1	0.0027249576571249166	3.8	2.0
1000	0	981	19	100	0	99	1	0.0027249576571249166	4.0	2.1
duration: 139.3s
