#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	96	4	100	0	95	5	0.007174773853288149	6.7	3.6
200	0	194	6	100	0	100	0	0.006387186147810195	4.4	2.3
300	0	291	9	100	0	96	4	0.006387186147810195	6.1	3.3
400	0	391	9	100	0	100	0	0.006279690798155007	5.5	2.9
500	0	490	10	100	0	99	1	0.005777829585521364	5.0	2.7
600	0	589	11	100	0	99	1	0.0056706135005801205	5.2	2.8
700	0	686	14	100	0	96	4	0.0056706135005801205	5.2	2.9
800	0	785	15	100	0	97	3	0.005629642760740992	5.1	2.7
900	0	882	18	100	0	99	1	0.005392733242626192	4.4	2.4
1000	0	978	22	100	0	100	0	0.005249996108979065	3.9	2.1
duration: 140.6s
