#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	100	0	100	0	97	3	0.005664516597046548	6.1	3.4
200	0	200	0	100	0	99	1	0.004728258600618031	3.9	2.1
300	0	299	1	100	0	100	0	0.004728258600618031	4.3	2.3
400	0	396	4	100	0	99	1	0.004728258600618031	4.5	2.4
500	0	494	6	100	0	100	0	0.004728258600618031	4.2	2.3
600	0	591	9	100	0	100	0	0.004728258600618031	4.2	2.3
700	0	691	9	100	0	98	2	0.004728258600618031	4.5	2.4
800	0	789	11	100	0	100	0	0.004728258600618031	3.9	2.1
900	0	888	12	100	0	100	0	0.004215589470163119	4.1	2.3
1000	0	986	14	100	0	98	2	0.004215589470163119	4.7	2.8
duration: 138.2s
