#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	97	3	100	0	89	11	0.0032309062297699717	6.7	3.6
200	0	195	5	100	0	99	1	0.0027575742495838107	5.6	3.1
300	0	294	6	100	0	100	0	0.0027575742495838107	4.4	2.5
400	0	394	6	100	0	100	0	0.0027575742495838107	4.6	2.5
500	0	492	8	100	0	100	0	0.0027575742495838107	4.0	2.2
600	0	590	10	100	0	99	1	0.002425081019305087	4.6	2.5
700	0	690	10	100	0	97	3	0.0023571210455137466	4.6	2.4
800	0	787	13	100	0	97	3	0.0023571210455137466	4.7	2.4
900	0	885	15	100	0	94	6	0.0023571210455137466	5.6	3.1
1000	0	982	18	100	0	98	2	0.0023571210455137466	5.0	2.7
duration: 147.1s
