#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	98	2	100	0	93	7	0.003187153682129219	6.2	3.3
200	0	193	7	100	0	95	5	0.002393739770621985	5.9	3.2
300	0	287	13	100	0	100	0	0.002327358267035847	4.4	2.3
400	0	382	18	100	0	100	0	0.002327358267035847	4.0	2.1
500	0	481	19	100	0	99	1	0.002327358267035847	3.8	2.0
600	0	579	21	100	0	99	1	0.002327358267035847	4.3	2.3
700	0	675	25	100	0	100	0	0.002327358267035847	4.3	2.3
800	0	774	26	100	0	99	1	0.0022635809886026557	3.6	1.9
900	0	872	28	100	0	100	0	0.0022635809886026557	4.0	2.2
1000	0	968	32	100	0	100	0	0.0022635809886026557	3.7	2.0
duration: 149.7s
