#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	96	4	100	0	93	7	0.007261043027547128	6.4	3.5
200	0	195	5	100	0	89	11	0.0050962968654174705	7.8	4.3
300	0	289	11	100	0	98	2	0.0050962968654174705	5.1	2.8
400	0	389	11	100	0	100	0	0.0050962968654174705	4.6	2.5
500	0	488	12	100	0	99	1	0.004990344755808302	4.6	2.5
600	0	586	14	100	0	100	0	0.004939188035174031	4.6	2.5
700	0	682	18	100	0	99	1	0.004939188035174031	5.3	2.9
800	0	779	21	100	0	100	0	0.004939188035174031	4.5	2.4
900	0	878	22	100	0	100	0	0.004939188035174031	4.5	2.4
1000	0	976	24	100	0	100	0	0.004939188035174031	4.2	2.3
duration: 153.7s
