#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
1000	0	986	14	1000	0	975	25	0.002110016905797505	7.1	46.7
2000	0	1981	19	1000	0	963	37	0.001781919694614804	6.2	42.4
3000	0	2977	23	1000	0	960	40	0.001781919694614804	6.3	50.9
4000	0	3972	28	1000	0	964	36	0.001623041568566227	7.1	57.0
5000	0	4964	36	1000	0	829	171	0.0013705440334099185	7.6	51.7
6000	0	5955	45	1000	0	903	97	0.0010355131430978574	6.9	47.4
7000	0	6942	58	1000	0	856	144	0.0009542092078722744	6.9	50.8
8000	0	7923	77	1000	0	857	143	0.0009542092078722744	6.2	37.0
9000	0	8913	87	1000	0	679	321	0.0009123434652734671	10.1	85.9
10000	0	9906	94	1000	0	658	342	0.0009123434652734671	10.9	66.9
11000	0	10897	103	1000	0	696	304	0.0009123434652734671	9.6	58.1
12000	0	11886	114	1000	0	670	330	0.0009123434652734671	10.4	78.4
13000	0	12871	129	1000	0	719	281	0.0009123434652734671	9.3	71.9
14000	0	13863	137	1000	0	695	305	0.0009123434652734671	9.6	72.6
15000	0	14853	147	1000	0	660	340	0.0009123434652734671	10.6	83.0
16000	0	15839	161	1000	0	693	307	0.0009123434652734671	9.5	72.2
17000	0	16823	177	1000	0	910	90	0.0007612738621552322	7.6	55.6
18000	0	17809	191	1000	0	895	105	0.0007612738621552322	7.8	62.4
19000	0	18799	201	1000	0	850	150	0.0006352730767336817	9.5	81.7
20000	0	19791	209	1000	0	814	186	0.0006352730767336817	10.3	77.0
21000	0	20782	218	1000	0	824	176	0.0006352730767336817	10.3	91.1
22000	0	21773	227	1000	0	828	172	0.0006352730767336817	10.8	81.2
23000	0	22755	245	1000	0	799	201	0.0005900210612841334	10.8	89.1
24000	0	23746	254	1000	0	811	189	0.0005900210612841334	10.0	84.9
25000	0	24738	262	1000	0	767	233	0.0005900210612841334	10.4	99.8
26000	0	25717	283	1000	0	850	150	0.0005900210612841334	7.9	52.0
27000	0	26709	291	1000	0	840	160	0.0005900210612841334	8.3	67.8
28000	0	27701	299	1000	0	810	190	0.0005900210612841334	9.5	84.9
29000	0	28695	305	1000	0	822	178	0.0005900210612841334	9.4	75.7
30000	0	29682	318	1000	0	859	141	0.0005900210612841334	7.8	62.2
31000	0	30670	330	1000	0	813	187	0.0005900210612841334	9.6	83.4
32000	0	31661	339	1000	0	787	213	0.0005900210612841334	10.2	93.3
33000	0	32651	349	1000	0	809	191	0.0005900210612841334	9.5	85.4
34000	0	33636	364	1000	0	884	116	0.0005900210612841334	7.8	66.2
35000	0	34623	377	1000	0	788	212	0.0005900210612841334	10.5	99.9
36000	0	35610	390	1000	0	820	180	0.0005900210612841334	8.9	78.6
37000	0	36598	402	1000	0	799	201	0.0005900210612841334	9.9	87.5
38000	0	37585	415	1000	0	838	162	0.0005900210612841334	9.0	78.0
39000	0	38573	427	1000	0	781	219	0.0005900210612841334	11.1	111.8
40000	0	39563	437	1000	0	817	183	0.0005900210612841334	9.0	80.3
41000	0	40556	444	1000	0	787	213	0.0005900210612841334	9.9	89.0
42000	0	41541	459	1000	0	804	196	0.0005900210612841334	9.2	81.8
43000	0	42535	465	1000	0	840	160	0.0005900210612841334	8.9	79.6
44000	0	43523	477	1000	0	873	127	0.0005875537867391359	9.3	98.4
45000	0	44510	490	1000	0	878	122	0.0005875537867391359	8.7	85.0
46000	0	45506	494	1000	0	927	73	0.0005875537867391359	7.3	64.5
47000	0	46498	502	1000	0	890	110	0.0005875537867391359	8.5	83.5
48000	0	47483	517	1000	0	904	96	0.0005875537867391359	8.6	90.7
49000	0	48477	523	1000	0	902	98	0.0005875537867391359	8.2	75.6
50000	0	49469	531	1000	0	893	107	0.0005875537867391359	8.5	82.8
51000	0	50462	538	1000	0	907	93	0.0005875537867391359	7.6	69.1
52000	0	51451	549	1000	0	882	118	0.0005875537867391359	9.3	96.9
53000	0	52436	564	1000	0	822	178	0.0005745238158355365	9.6	91.7
54000	0	53427	573	1000	0	886	114	0.0005745238158355365	8.3	79.8
55000	0	54419	581	1000	0	939	61	0.0005745238158355365	6.1	43.5
56000	0	55406	594	1000	0	779	221	0.0005745238158355365	10.9	111.2
57000	0	56396	604	1000	0	893	107	0.0005745238158355365	7.5	66.6
58000	0	57381	619	1000	0	807	193	0.0005745238158355365	10.4	103.1
59000	0	58369	631	1000	0	850	150	0.0005745238158355365	8.4	80.7
60000	0	59359	641	1000	0	919	81	0.0005745238158355365	6.4	49.0
61000	0	60350	650	1000	0	879	121	0.0005745238158355365	8.5	84.7
62000	0	61342	658	1000	0	806	194	0.0005745238158355365	9.6	93.9
63000	0	62335	665	1000	0	813	187	0.0005745238158355365	9.7	93.7
64000	0	63325	675	1000	0	806	194	0.0005745238158355365	10.2	102.2
65000	0	64312	688	1000	0	851	149	0.0005745238158355365	8.7	86.4
66000	0	65306	694	1000	0	825	175	0.0005745238158355365	9.6	94.7
67000	0	66290	710	1000	0	818	182	0.0005745238158355365	9.9	97.2
68000	0	67279	721	1000	0	837	163	0.0005745238158355365	9.0	89.2
69000	0	68268	732	1000	0	841	159	0.0005745238158355365	9.0	90.7
70000	0	69253	747	1000	0	802	198	0.0005745238158355365	10.5	104.9
71000	0	70239	761	1000	0	844	156	0.0005745238158355365	8.5	74.9
72000	0	71222	778	1000	0	840	160	0.0005745238158355365	9.2	87.2
73000	0	72208	792	1000	0	810	190	0.0005745238158355365	9.6	92.7
74000	0	73200	800	1000	0	904	96	0.0005745238158355365	7.0	60.4
75000	0	74190	810	1000	0	864	136	0.000517466454051231	6.6	48.9
76000	0	75180	820	1000	0	901	99	0.000517466454051231	5.7	40.2
77000	0	76173	827	1000	0	789	211	0.000517466454051231	8.1	63.4
78000	0	77160	840	1000	0	773	227	0.000517466454051231	8.7	68.6
79000	0	78150	850	1000	0	795	205	0.000517466454051231	8.0	63.3
80000	0	79136	864	1000	0	800	200	0.000517466454051231	8.3	64.8
81000	0	80130	870	1000	0	807	193	0.000517466454051231	8.1	64.8
82000	0	81122	878	1000	0	798	202	0.000517466454051231	8.2	63.4
83000	0	82116	884	1000	0	849	151	0.000517466454051231	5.8	41.1
84000	0	83104	896	1000	0	792	208	0.000517466454051231	8.3	67.0
85000	0	84092	908	1000	0	771	229	0.000517466454051231	8.5	65.1
86000	0	85078	922	1000	0	826	174	0.000517466454051231	7.3	55.5
87000	0	86067	933	1000	0	875	125	0.000517466454051231	5.7	41.5
88000	0	87055	945	1000	0	803	197	0.000517466454051231	8.2	64.4
89000	0	88045	955	1000	0	778	222	0.000517466454051231	8.6	67.0
90000	0	89031	969	1000	0	796	204	0.000517466454051231	8.2	65.4
91000	0	90022	978	1000	0	803	197	0.000517466454051231	8.0	64.6
92000	0	91016	984	1000	0	800	200	0.000517466454051231	7.9	60.5
93000	0	92004	996	1000	0	825	175	0.000517466454051231	7.7	59.3
94000	0	92990	1010	1000	0	848	152	0.000517466454051231	5.7	42.5
95000	0	93981	1019	1000	0	852	148	0.000517466454051231	7.2	54.9
96000	0	94965	1035	1000	0	853	147	0.000517466454051231	5.9	43.7
97000	0	95950	1050	1000	0	837	163	0.000517466454051231	7.1	52.5
98000	0	96935	1065	1000	0	743	257	0.000517466454051231	9.4	74.4
99000	0	97931	1069	1000	0	836	164	0.000517466454051231	7.4	56.7
100000	0	98919	1081	1000	0	819	181	0.000517466454051231	7.2	53.4
101000	0	99907	1093	1000	0	788	212	0.000517466454051231	8.0	62.5
102000	0	100890	1110	1000	0	787	213	0.000517466454051231	8.5	66.5
103000	0	101874	1126	1000	0	767	233	0.000517466454051231	8.9	70.4
104000	0	102867	1133	1000	0	747	253	0.000517466454051231	9.0	69.8
105000	0	103853	1147	1000	0	786	214	0.000517466454051231	8.4	65.0
106000	0	104844	1156	1000	0	758	242	0.000517466454051231	8.6	67.1
107000	0	105833	1167	1000	0	796	204	0.000517466454051231	8.3	63.9
108000	0	106823	1177	1000	0	789	211	0.000517466454051231	8.7	68.3
109000	0	107815	1185	1000	0	896	104	0.000517466454051231	5.9	42.3
110000	0	108804	1196	1000	0	790	210	0.000517466454051231	8.3	64.4
111000	0	109797	1203	1000	0	772	228	0.000517466454051231	8.6	66.4
112000	0	110781	1219	1000	0	782	218	0.000517466454051231	8.5	66.9
113000	0	111770	1230	1000	0	776	224	0.000517466454051231	8.4	66.0
114000	0	112760	1240	1000	0	880	120	0.000517466454051231	4.5	29.2
115000	0	113749	1251	1000	0	900	100	0.000517466454051231	5.8	41.0
116000	0	114743	1257	1000	0	851	149	0.000517466454051231	7.3	56.1
117000	0	115730	1270	1000	0	782	218	0.000517466454051231	8.0	61.3
118000	0	116727	1273	1000	0	734	266	0.000517466454051231	9.3	71.0
119000	0	117714	1286	1000	0	780	220	0.000517466454051231	8.3	66.3
120000	0	118706	1294	1000	0	770	230	0.000517466454051231	8.3	63.8
121000	0	119693	1307	1000	0	848	152	0.000517466454051231	5.3	36.6
122000	0	120681	1319	1000	0	816	184	0.000517466454051231	7.6	58.4
123000	0	121672	1328	1000	0	860	140	0.000517466454051231	5.5	39.5
124000	0	122663	1337	1000	0	827	173	0.000517466454051231	5.9	43.4
125000	0	123651	1349	1000	0	872	128	0.000517466454051231	4.9	32.5
126000	0	124634	1366	1000	0	815	185	0.000517466454051231	7.8	60.3
127000	0	125623	1377	1000	0	798	202	0.000517466454051231	8.2	64.1
128000	0	126609	1391	1000	0	814	186	0.000517466454051231	7.7	58.9
129000	0	127594	1406	1000	0	784	216	0.000517466454051231	8.5	68.0
130000	0	128578	1422	1000	0	769	231	0.000517466454051231	8.9	69.3
131000	0	129565	1435	1000	0	755	245	0.000517466454051231	9.1	72.6
132000	0	130556	1444	1000	0	791	209	0.000517466454051231	8.2	63.7
133000	0	131541	1459	1000	0	841	159	0.000517466454051231	7.2	56.4
134000	0	132525	1475	1000	0	802	198	0.000517466454051231	7.9	59.9
135000	0	133512	1488	1000	0	843	157	0.000517466454051231	7.5	57.1
136000	0	134501	1499	1000	0	804	196	0.000517466454051231	7.8	61.4
137000	0	135493	1507	1000	0	748	252	0.000517466454051231	9.2	75.4
138000	0	136479	1521	1000	0	799	201	0.000517466454051231	7.9	63.4
139000	0	137466	1534	1000	0	840	160	0.000517466454051231	7.4	56.9
140000	0	138457	1543	1000	0	936	64	0.000517466454051231	5.2	35.0
141000	0	139441	1559	1000	0	886	114	0.000517466454051231	6.0	42.2
142000	0	140429	1571	1000	0	763	237	0.000517466454051231	8.1	61.9
143000	0	141422	1578	1000	0	764	236	0.000517466454051231	8.7	68.4
144000	0	142408	1592	1000	0	852	148	0.000517466454051231	6.8	51.6
145000	0	143393	1607	1000	0	805	195	0.000517466454051231	7.9	60.9
146000	0	144384	1616	1000	0	818	182	0.000517466454051231	7.7	59.7
147000	0	145368	1632	1000	0	820	180	0.000517466454051231	6.8	52.3
148000	0	146355	1645	1000	0	802	198	0.000517466454051231	7.8	60.9
149000	0	147347	1653	1000	0	770	230	0.000517466454051231	8.6	69.4
150000	0	148335	1665	1000	0	921	79	0.000517466454051231	5.7	39.5
151000	0	149322	1678	1000	0	805	195	0.000517466454051231	7.5	56.5
152000	0	150307	1693	1000	0	774	226	0.000517466454051231	8.8	69.5
153000	0	151300	1700	1000	0	882	118	0.000517466454051231	6.1	44.6
154000	0	152289	1711	1000	0	802	198	0.000517466454051231	8.1	63.9
155000	0	153279	1721	1000	0	846	154	0.000517466454051231	7.2	53.8
156000	0	154270	1730	1000	0	788	212	0.000517466454051231	7.8	62.5
157000	0	155258	1742	1000	0	770	230	0.000517466454051231	9.0	71.8
158000	0	156252	1748	1000	0	927	73	0.000517466454051231	5.3	35.8
159000	0	157241	1759	1000	0	898	102	0.000517466454051231	6.4	46.6
160000	0	158226	1774	1000	0	763	237	0.000517466454051231	8.8	77.7
161000	0	159213	1787	1000	0	796	204	0.000517466454051231	8.3	72.0
162000	0	160205	1795	1000	0	842	158	0.000517466454051231	7.3	56.5
163000	0	161192	1808	1000	0	757	243	0.000517466454051231	8.7	68.7
164000	0	162181	1819	1000	0	813	187	0.000517466454051231	7.8	59.7
165000	0	163165	1835	1000	0	743	257	0.000517466454051231	8.9	69.2
166000	0	164153	1847	1000	0	762	238	0.000517466454051231	8.3	63.5
167000	0	165147	1853	1000	0	774	226	0.000517466454051231	8.6	66.9
168000	0	166140	1860	1000	0	816	184	0.000517466454051231	7.8	59.4
169000	0	167120	1880	1000	0	793	207	0.000517466454051231	8.0	62.3
170000	0	168110	1890	1000	0	869	131	0.000517466454051231	5.3	37.5
171000	0	169097	1903	1000	0	796	204	0.000517466454051231	8.2	64.3
172000	0	170085	1915	1000	0	828	172	0.000517466454051231	6.7	50.8
173000	0	171074	1926	1000	0	916	84	0.000517466454051231	5.5	38.4
174000	0	172059	1941	1000	0	829	171	0.000517466454051231	7.3	56.6
175000	0	173040	1960	1000	0	744	256	0.000517466454051231	8.9	69.2
176000	0	174027	1973	1000	0	876	124	0.000517466454051231	6.3	45.5
177000	0	175012	1988	1000	0	842	158	0.000517466454051231	5.9	41.5
178000	0	175999	2001	1000	0	829	171	0.000517466454051231	7.1	54.6
179000	0	176991	2009	1000	0	733	267	0.0004897480185565017	9.4	74.5
180000	0	177981	2019	1000	0	747	253	0.0004897480185565017	9.3	74.0
181000	0	178966	2034	1000	0	756	244	0.0004897480185565017	9.1	73.1
182000	0	179961	2039	1000	0	768	232	0.0004897480185565017	8.3	65.6
183000	0	180949	2051	1000	0	875	125	0.0004897480185565017	6.2	44.9
184000	0	181931	2069	1000	0	774	226	0.0004897480185565017	8.8	69.7
185000	0	182920	2080	1000	0	893	107	0.0004897480185565017	5.5	36.2
186000	0	183908	2092	1000	0	872	128	0.0004897480185565017	6.2	42.9
187000	0	184895	2105	1000	0	750	250	0.0004897480185565017	8.6	66.6
188000	0	185886	2114	1000	0	847	153	0.0004897480185565017	6.5	47.5
189000	0	186880	2120	1000	0	818	182	0.0004897480185565017	7.7	59.7
190000	0	187864	2136	1000	0	832	168	0.0004897480185565017	6.6	47.8
191000	0	188841	2159	1000	0	769	231	0.0004897480185565017	8.9	71.3
192000	0	189832	2168	1000	0	702	298	0.0004897480185565017	9.2	74.5
193000	0	190821	2179	1000	0	858	142	0.0004897480185565017	5.7	39.9
194000	0	191809	2191	1000	0	822	178	0.0004897480185565017	7.3	54.1
195000	0	192798	2202	1000	0	862	138	0.0004897480185565017	6.8	50.0
196000	0	193784	2216	1000	0	807	193	0.0004897480185565017	6.4	45.6
197000	0	194771	2229	1000	0	782	218	0.0004897480185565017	7.5	56.6
198000	0	195757	2243	1000	0	773	227	0.0004897480185565017	9.0	71.9
199000	0	196743	2257	1000	0	796	204	0.0004897480185565017	8.4	67.4
200000	0	197735	2265	1000	0	725	275	0.0004897480185565017	8.8	67.9
201000	0	198721	2279	1000	0	751	249	0.0004897480185565017	7.9	60.1
202000	0	199712	2288	1000	0	778	222	0.0004897480185565017	8.0	62.3
203000	0	200704	2296	1000	0	794	206	0.0004897480185565017	8.1	62.8
204000	0	201697	2303	1000	0	816	184	0.0004897480185565017	6.2	44.5
205000	0	202690	2310	1000	0	733	267	0.0004897480185565017	8.7	67.6
206000	0	203679	2321	1000	0	856	144	0.0004897480185565017	6.7	48.4
207000	0	204667	2333	1000	0	875	125	0.0004897480185565017	6.0	40.4
208000	0	205652	2348	1000	0	836	164	0.0004897480185565017	7.5	59.5
209000	0	206639	2361	1000	0	816	184	0.0004897480185565017	7.6	57.9
210000	0	207623	2377	1000	0	732	268	0.0004897480185565017	9.3	75.2
211000	0	208613	2387	1000	0	789	211	0.0004897480185565017	8.3	64.1
212000	0	209597	2403	1000	0	799	201	0.0004897480185565017	7.7	59.7
213000	0	210579	2421	1000	0	710	290	0.0004897480185565017	9.5	76.1
214000	0	211562	2438	1000	0	770	230	0.0004897480185565017	8.3	63.0
215000	0	212555	2445	1000	0	737	263	0.0004897480185565017	9.2	74.5
216000	0	213548	2452	1000	0	793	207	0.0004897480185565017	7.7	59.0
217000	0	214533	2467	1000	0	740	260	0.0004897480185565017	9.0	70.5
218000	0	215519	2481	1000	0	712	288	0.0004897480185565017	9.4	74.9
219000	0	216503	2497	1000	0	879	121	0.0004897480185565017	6.0	41.5
220000	0	217491	2509	1000	0	897	103	0.0004897480185565017	5.9	41.7
221000	0	218483	2517	1000	0	715	285	0.0004897480185565017	9.2	73.1
222000	0	219469	2531	1000	0	760	240	0.0004897480185565017	8.3	64.6
223000	0	220462	2538	1000	0	786	214	0.0004897480185565017	8.5	66.6
224000	0	221453	2547	1000	0	795	205	0.0004897480185565017	7.7	59.2
225000	0	222451	2549	1000	0	880	120	0.0004897480185565017	6.0	42.0
226000	0	223442	2558	1000	0	773	227	0.0004897480185565017	8.7	67.4
227000	0	224433	2567	1000	0	716	284	0.0004897480185565017	9.2	72.7
228000	0	225420	2580	1000	0	766	234	0.0004897480185565017	8.8	70.3
229000	0	226404	2596	1000	0	859	141	0.0004897480185565017	7.0	51.7
230000	0	227389	2611	1000	0	759	241	0.0004897480185565017	9.3	76.3
231000	0	228377	2623	1000	0	789	211	0.0004897480185565017	7.4	55.7
232000	0	229361	2639	1000	0	778	222	0.0004897480185565017	8.8	70.2
233000	0	230349	2651	1000	0	915	85	0.0004897480185565017	5.4	36.7
234000	0	231334	2666	1000	0	738	262	0.0004897480185565017	8.8	67.6
235000	0	232325	2675	1000	0	863	137	0.0004897480185565017	4.7	30.3
236000	0	233314	2686	1000	0	744	256	0.0004897480185565017	8.1	62.2
237000	0	234302	2698	1000	0	727	273	0.0004897480185565017	9.1	72.7
238000	0	235296	2704	1000	0	888	112	0.0004897480185565017	6.9	51.6
239000	0	236290	2710	1000	0	906	94	0.0004897480185565017	5.8	44.4
240000	0	237279	2721	1000	0	767	233	0.0004897480185565017	8.8	71.8
241000	0	238267	2733	1000	0	816	184	0.0004696388093662254	8.3	63.5
242000	0	239248	2752	1000	0	878	122	0.0004696388093662254	6.9	51.3
243000	0	240236	2764	1000	0	767	233	0.0004696388093662254	9.2	72.1
244000	0	241225	2775	1000	0	808	192	0.0004696388093662254	8.1	63.0
245000	0	242220	2780	1000	0	764	236	0.0004696388093662254	8.6	66.9
246000	0	243207	2793	1000	0	748	252	0.0004696388093662254	9.1	71.2
247000	0	244191	2809	1000	0	754	246	0.0004696388093662254	9.2	70.5
248000	0	245182	2818	1000	0	730	270	0.0004696388093662254	10.3	82.9
249000	0	246170	2830	1000	0	924	76	0.0004696388093662254	6.2	44.1
250000	0	247167	2833	1000	0	773	227	0.0004696388093662254	8.9	69.7
251000	0	248156	2844	1000	0	906	94	0.0004696388093662254	6.0	42.8
252000	0	249136	2864	1000	0	750	250	0.0004696388093662254	9.1	72.3
253000	0	250121	2879	1000	0	960	40	0.0004696388093662254	5.4	36.0
254000	0	251109	2891	1000	0	750	250	0.0004696388093662254	9.1	70.6
255000	0	252094	2906	1000	0	825	175	0.0004696388093662254	7.8	58.0
256000	0	253086	2914	1000	0	894	106	0.0004696388093662254	6.6	47.8
257000	0	254072	2928	1000	0	708	292	0.0004696388093662254	10.1	79.9
258000	0	255063	2937	1000	0	805	195	0.0004696388093662254	8.4	63.9
259000	0	256052	2948	1000	0	828	172	0.0004696388093662254	7.8	65.2
260000	0	257038	2962	1000	0	811	189	0.0004696388093662254	8.2	62.3
261000	0	258023	2977	1000	0	847	153	0.0004696388093662254	6.1	43.9
262000	0	259014	2986	1000	0	730	270	0.0004696388093662254	9.8	76.7
263000	0	260004	2996	1000	0	740	260	0.0004696388093662254	9.6	74.5
264000	0	260991	3009	1000	0	719	281	0.0004696388093662254	9.8	77.2
265000	0	261974	3026	1000	0	853	147	0.0004696388093662254	7.1	52.9
266000	0	262962	3038	1000	0	750	250	0.0004696388093662254	8.9	69.5
267000	0	263950	3050	1000	0	756	244	0.0004696388093662254	9.4	74.1
268000	0	264941	3059	1000	0	746	254	0.0004696388093662254	9.1	69.9
269000	0	265926	3074	1000	0	813	187	0.0004696388093662254	7.8	58.5
270000	0	266902	3098	1000	0	892	108	0.0004696388093662254	4.6	30.6
271000	0	267893	3107	1000	0	902	98	0.0004696388093662254	6.3	48.0
272000	0	268873	3127	1000	0	775	225	0.0004696388093662254	8.5	65.0
273000	0	269856	3144	1000	0	720	280	0.0004696388093662254	10.0	77.1
274000	0	270848	3152	1000	0	765	235	0.0004696388093662254	8.6	65.6
275000	0	271838	3162	1000	0	734	266	0.0004696388093662254	9.4	74.0
276000	0	272824	3176	1000	0	717	283	0.0004696388093662254	9.6	75.0
277000	0	273814	3186	1000	0	744	256	0.0004696388093662254	9.0	70.8
278000	0	274804	3196	1000	0	743	257	0.0004696388093662254	9.3	73.8
279000	0	275797	3203	1000	0	757	243	0.0004696388093662254	9.1	71.1
280000	0	276786	3214	1000	0	744	256	0.0004696388093662254	9.2	73.0
281000	0	277768	3232	1000	0	708	292	0.0004696388093662254	9.6	76.1
282000	0	278756	3244	1000	0	738	262	0.0004696388093662254	9.3	74.1
283000	0	279736	3264	1000	0	846	154	0.0004696388093662254	7.6	57.5
284000	0	280723	3277	1000	0	711	289	0.0004696388093662254	9.4	73.5
285000	0	281712	3288	1000	0	739	261	0.0004696388093662254	9.5	73.3
286000	0	282699	3301	1000	0	771	229	0.0004696388093662254	8.6	66.7
287000	0	283687	3313	1000	0	757	243	0.0004696388093662254	9.0	70.9
288000	0	284668	3332	1000	0	849	151	0.0004696388093662254	7.4	54.6
289000	0	285658	3342	1000	0	746	254	0.0004696388093662254	9.0	69.8
290000	0	286647	3353	1000	0	896	104	0.0004696388093662254	6.7	48.1
291000	0	287636	3364	1000	0	780	220	0.0004696388093662254	8.5	66.7
292000	0	288628	3372	1000	0	749	251	0.0004696388093662254	8.8	68.6
293000	0	289613	3387	1000	0	873	127	0.0004696388093662254	5.6	39.8
294000	0	290599	3401	1000	0	947	53	0.0004696388093662254	5.7	39.9
295000	0	291583	3417	1000	0	891	109	0.0004696388093662254	6.4	46.6
296000	0	292570	3430	1000	0	733	267	0.0004696388093662254	9.6	75.7
297000	0	293559	3441	1000	0	782	218	0.0004696388093662254	8.7	66.9
298000	0	294540	3460	1000	0	897	103	0.0004696388093662254	6.6	48.1
299000	0	295524	3476	1000	0	898	102	0.0004696388093662254	6.8	49.2
300000	0	296503	3497	1000	0	752	248	0.0004696388093662254	9.1	71.3
301000	0	297493	3507	1000	0	967	33	0.0004696388093662254	5.3	35.3
302000	0	298484	3516	1000	0	737	263	0.0004696388093662254	9.7	75.4
303000	0	299472	3528	1000	0	737	263	0.0004696388093662254	9.7	76.6
304000	0	300460	3540	1000	0	759	241	0.0004696388093662254	9.2	73.0
305000	0	301445	3555	1000	0	830	170	0.0004696388093662254	6.6	49.5
306000	0	302432	3568	1000	0	738	262	0.0004696388093662254	9.6	74.9
307000	0	303416	3584	1000	0	760	240	0.0004696388093662254	9.0	69.9
308000	0	304407	3593	1000	0	969	31	0.0004696388093662254	5.3	36.8
309000	0	305396	3604	1000	0	762	238	0.0004696388093662254	9.2	72.0
310000	0	306386	3614	1000	0	733	267	0.0004696388093662254	9.4	75.7
311000	0	307378	3622	1000	0	808	192	0.0004696388093662254	8.3	63.9
312000	0	308369	3631	1000	0	751	249	0.0004696388093662254	9.2	71.0
313000	0	309356	3644	1000	0	739	261	0.0004696388093662254	9.4	73.1
314000	0	310347	3653	1000	0	742	258	0.0004696388093662254	9.3	73.2
315000	0	311335	3665	1000	0	747	253	0.0004696388093662254	8.9	68.2
316000	0	312324	3676	1000	0	733	267	0.0004696388093662254	10.1	81.1
317000	0	313312	3688	1000	0	762	238	0.0004696388093662254	8.8	68.1
318000	0	314303	3697	1000	0	739	261	0.0004696388093662254	9.5	74.6
319000	0	315295	3705	1000	0	753	247	0.0004696388093662254	9.0	70.5
320000	0	316289	3711	1000	0	784	216	0.0004696388093662254	8.4	65.4
321000	0	317275	3725	1000	0	775	225	0.0004696388093662254	8.8	68.2
322000	0	318263	3737	1000	0	846	154	0.0004696388093662254	6.2	44.6
323000	0	319249	3751	1000	0	733	267	0.0004696388093662254	9.7	75.2
324000	0	320240	3760	1000	0	768	232	0.0004696388093662254	9.0	70.4
325000	0	321224	3776	1000	0	742	258	0.0004696388093662254	9.3	73.5
326000	0	322218	3782	1000	0	736	264	0.0004696388093662254	9.3	73.0
327000	0	323209	3791	1000	0	747	253	0.0004696388093662254	9.3	72.6
328000	0	324200	3800	1000	0	730	270	0.0004696388093662254	9.2	71.9
