#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	96	4	100	0	87	13	0.006684418593329836	9.9	6.0
200	0	195	5	100	0	87	13	0.006684418593329836	8.7	5.2
300	0	295	5	100	0	91	9	0.006684418593329836	6.5	3.9
400	0	393	7	100	0	87	13	0.006684418593329836	9.1	5.3
500	0	491	9	100	0	93	7	0.006684418593329836	6.7	3.7
600	0	587	13	100	0	93	7	0.006684418593329836	6.4	3.6
700	0	686	14	100	0	95	5	0.00657313790292764	6.7	4.0
800	0	782	18	100	0	94	6	0.00657313790292764	7.5	4.5
900	0	881	19	100	0	92	8	0.00657313790292764	7.7	4.5
1000	0	980	20	100	0	89	11	0.00657313790292764	7.4	4.4
duration: 141.9s
