#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
100	0	97	3	100	0	95	5	0.005928534482350964	4.4	2.3
200	0	194	6	100	0	99	1	0.005928534482350964	3.8	2.0
300	0	293	7	100	0	100	0	0.005928534482350964	3.6	2.0
400	0	390	10	100	0	99	1	0.005928534482350964	3.8	2.1
500	0	487	13	100	0	100	0	0.005928534482350964	4.1	2.3
600	0	586	14	100	0	100	0	0.005928534482350964	3.6	1.9
700	0	685	15	100	0	99	1	0.005928534482350964	4.3	2.3
800	0	782	18	100	0	99	1	0.005928534482350964	4.4	2.4
900	0	881	19	100	0	100	0	0.005928534482350964	3.7	2.1
1000	0	980	20	100	0	100	0	0.005928534482350964	3.7	2.0
duration: 117.4s
