#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss
1000	720	186	94	1000	725	160	115	7.1712482051776005
2000	1271	537	192	1000	457	427	116	6.234583017330547
3000	1713	965	322	1000	344	569	87	4.909583986994875
4000	2212	1354	434	1000	472	361	167	3.075015024126228
5000	2737	1686	577	1000	620	236	144	2.2040594612311204
6000	3362	1922	716	1000	680	234	86	1.8508568470711906
7000	3961	2191	848	1000	695	188	117	1.534323447810536
8000	4593	2433	974	1000	723	188	89	1.4122721583644349
9000	5225	2666	1109	1000	717	164	119	1.4122721583644349
10000	5836	2911	1253	1000	752	139	109	1.3742396913158847
11000	6465	3151	1384	1000	758	169	73	1.3716618320018759
12000	7032	3432	1536	1000	775	135	90	1.360506775219535
13000	7610	3706	1684	1000	406	420	174	1.360506775219535
14000	8154	4017	1829	1000	443	397	160	1.2451236154181178
15000	8697	4338	1965	1000	395	420	185	1.2451236154181178
16000	9232	4665	2103	1000	398	548	54	1.2451236154181178
17000	9786	4988	2226	1000	404	531	65	1.1569995895633043
18000	10324	5336	2340	1000	375	562	63	0.9756048386190669
19000	10817	5709	2474	1000	369	575	56	0.9756048386190669
20000	11330	6053	2617	1000	365	566	69	0.9756048386190669
21000	11845	6420	2735	1000	385	412	203	0.9756048386190669
22000	12379	6748	2873	1000	360	446	194	0.9756048386190669
23000	12932	7055	3013	1000	370	426	204	0.9756048386190669
24000	13480	7371	3149	1000	799	132	69	0.9756048386190669
25000	14006	7701	3293	1000	804	113	83	0.9066561476621379
26000	14574	7997	3429	1000	824	98	78	0.9066561476621379
27000	15154	8289	3557	1000	823	100	77	0.9066561476621379
28000	15700	8609	3691	1000	799	122	79	0.9066561476621379
29000	16279	8883	3838	1000	812	116	72	0.824179977574136
30000	16864	9163	3973	1000	808	115	77	0.824179977574136
31000	17431	9460	4109	1000	835	81	84	0.824179977574136
32000	18039	9735	4226	1000	827	104	69	0.824179977574136
33000	18629	10021	4350	1000	833	98	69	0.824179977574136
34000	19187	10329	4484	1000	812	115	73	0.824179977574136
35000	19737	10646	4617	1000	830	87	83	0.824179977574136
36000	20290	10976	4734	1000	846	95	59	0.824179977574136
37000	20862	11288	4850	1000	841	101	58	0.824179977574136
38000	21400	11611	4989	1000	844	86	70	0.824179977574136
39000	21927	11940	5133	1000	521	453	26	0.824179977574136
40000	22486	12258	5256	1000	435	441	124	0.824179977574136
41000	23023	12588	5389	1000	453	426	121	0.824179977574136
42000	23540	12946	5514	1000	413	464	123	0.824179977574136
43000	24098	13258	5644	1000	429	460	111	0.824179977574136
44000	24633	13580	5787	1000	421	455	124	0.824179977574136
45000	25176	13909	5915	1000	444	447	109	0.824179977574136
46000	25730	14224	6046	1000	421	467	112	0.824179977574136
47000	26309	14524	6167	1000	404	467	129	0.824179977574136
48000	26877	14832	6291	1000	403	486	111	0.824179977574136
49000	27425	15151	6424	1000	797	109	94	0.824179977574136
50000	27969	15466	6565	1000	818	91	91	0.824179977574136
51000	28531	15774	6695	1000	797	108	95	0.824179977574136
52000	29131	16061	6808	1000	838	83	79	0.824179977574136
53000	29709	16359	6932	1000	837	103	60	0.824179977574136
54000	30287	16640	7073	1000	833	97	70	0.824179977574136
55000	30853	16956	7191	1000	831	101	68	0.824179977574136
56000	31447	17237	7316	1000	826	107	67	0.824179977574136
57000	32035	17515	7450	1000	829	109	62	0.824179977574136
58000	32590	17833	7577	1000	826	90	84	0.824179977574136
59000	33139	18162	7699	1000	838	95	67	0.824179977574136
60000	33707	18477	7816	1000	825	99	76	0.824179977574136
61000	34285	18779	7936	1000	829	98	73	0.824179977574136
62000	34852	19097	8051	1000	830	109	61	0.824179977574136
63000	35422	19403	8175	1000	824	104	72	0.824179977574136
64000	35985	19718	8297	1000	811	105	84	0.824179977574136
65000	36532	20031	8437	1000	818	117	65	0.824179977574136
66000	37076	20357	8567	1000	790	125	85	0.824179977574136
67000	37643	20663	8694	1000	813	107	80	0.824179977574136
68000	38230	20978	8792	1000	816	95	89	0.824179977574136
69000	38794	21279	8927	1000	827	104	69	0.8045337169626523
70000	39334	21583	9083	1000	800	120	80	0.8045337169626523
71000	39897	21884	9219	1000	790	118	92	0.8045337169626523
72000	40458	22184	9358	1000	801	104	95	0.8045337169626523
73000	40987	22514	9499	1000	806	124	70	0.8045337169626523
74000	41543	22831	9626	1000	804	118	78	0.8045337169626523
75000	42096	23157	9747	1000	803	104	93	0.8014606077809384
76000	42664	23456	9880	1000	802	129	69	0.8014606077809384
77000	43206	23782	10012	1000	797	114	89	0.8014606077809384
78000	43778	24091	10131	1000	785	133	82	0.8014606077809384
79000	44337	24402	10261	1000	789	132	79	0.8014606077809384
80000	44906	24704	10390	1000	800	117	83	0.8014606077809384
81000	45470	25015	10515	1000	807	119	74	0.8014606077809384
82000	46067	25315	10618	1000	800	130	70	0.8014606077809384
83000	46632	25620	10748	1000	797	118	85	0.8014606077809384
84000	47209	25925	10866	1000	813	117	70	0.8014606077809384
85000	47791	26237	10972	1000	818	112	70	0.8014606077809384
86000	48348	26538	11114	1000	801	133	66	0.8014606077809384
87000	48936	26841	11223	1000	783	127	90	0.8014606077809384
88000	49511	27142	11347	1000	811	104	85	0.8014606077809384
89000	50090	27433	11477	1000	837	99	64	0.8014606077809384
90000	50666	27740	11594	1000	813	103	84	0.8014606077809384
91000	51229	28034	11737	1000	806	109	85	0.8014606077809384
