#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	q-table-size
1000	732	172	96	1000	766	171	63	1132
2000	1509	320	171	1000	830	138	32	1362
3000	2305	478	217	1000	851	125	24	1501
4000	3139	599	262	1000	909	80	11	1610
5000	3978	724	298	1000	913	77	10	1654
6000	4846	811	343	1000	938	53	9	1721
7000	5727	906	367	1000	932	54	14	1764
8000	6593	1007	400	1000	901	93	6	1840
9000	7487	1100	413	1000	921	73	6	1867
10000	8357	1201	442	1000	930	65	5	1903
11000	9230	1309	461	1000	909	87	4	1947
12000	10080	1436	484	1000	954	42	4	1971
13000	10955	1536	509	1000	912	81	7	1980
14000	11835	1632	533	1000	901	91	8	2012
15000	12693	1749	558	1000	920	80	0	2026
16000	13568	1848	584	1000	922	77	1	2041
17000	14463	1934	603	1000	930	67	3	2048
18000	15338	2033	629	1000	892	104	4	2059
19000	16227	2122	651	1000	942	54	4	2087
20000	17125	2206	669	1000	941	54	5	2093
21000	18022	2287	691	1000	951	44	5	2126
22000	18889	2408	703	1000	900	100	0	2140
23000	19773	2511	716	1000	928	70	2	2152
24000	20646	2622	732	1000	928	72	0	2156
25000	21550	2705	745	1000	949	51	0	2167
26000	22450	2787	763	1000	954	42	4	2188
27000	23330	2891	779	1000	921	70	9	2198
28000	24236	2972	792	1000	914	82	4	2199
29000	25146	3048	806	1000	931	67	2	2203
30000	26059	3122	819	1000	971	25	4	2215
31000	26966	3195	839	1000	951	43	6	2223
32000	27881	3264	855	1000	943	54	3	2228
33000	28785	3343	872	1000	947	49	4	2240
34000	29692	3424	884	1000	936	64	0	2258
35000	30601	3498	901	1000	959	41	0	2264
36000	31523	3568	909	1000	958	42	0	2275
37000	32430	3639	931	1000	954	46	0	2288
38000	33333	3723	944	1000	957	43	0	2298
39000	34250	3799	951	1000	957	41	2	2316
40000	35187	3852	961	1000	962	34	4	2326
41000	36114	3915	971	1000	962	38	0	2329
42000	37032	3987	981	1000	949	44	7	2336
43000	37936	4065	999	1000	967	28	5	2350
44000	38839	4153	1008	1000	955	44	1	2359
45000	39749	4232	1019	1000	942	53	5	2361
46000	40671	4303	1026	1000	918	82	0	2363
47000	41581	4381	1038	1000	969	27	4	2366
48000	42509	4441	1050	1000	923	77	0	2369
49000	43425	4513	1062	1000	960	33	7	2372
50000	44355	4574	1071	1000	943	50	7	2374
51000	45271	4643	1086	1000	962	30	8	2377
52000	46176	4725	1099	1000	944	48	8	2384
53000	47083	4806	1111	1000	945	54	1	2387
54000	48008	4871	1121	1000	974	26	0	2387
55000	48937	4930	1133	1000	983	13	4	2389
56000	49859	5000	1141	1000	962	33	5	2392
57000	50786	5057	1157	1000	931	69	0	2403
58000	51714	5125	1161	1000	959	41	0	2404
59000	52636	5200	1164	1000	981	19	0	2409
60000	53570	5255	1175	1000	970	30	0	2410
61000	54498	5315	1187	1000	955	45	0	2413
62000	55413	5388	1199	1000	967	33	0	2413
63000	56329	5466	1205	1000	963	37	0	2417
64000	57240	5540	1220	1000	973	27	0	2418
65000	58172	5597	1231	1000	978	22	0	2423
66000	59089	5664	1247	1000	945	55	0	2424
67000	60018	5725	1257	1000	964	36	0	2428
68000	60929	5803	1268	1000	946	47	7	2430
69000	61857	5860	1283	1000	974	26	0	2431
70000	62787	5923	1290	1000	964	27	9	2434
71000	63713	5986	1301	1000	966	34	0	2440
72000	64640	6050	1310	1000	975	22	3	2443
73000	65565	6112	1323	1000	969	31	0	2445
74000	66480	6184	1336	1000	960	26	14	2447
75000	67416	6240	1344	1000	972	28	0	2449
76000	68350	6298	1352	1000	981	19	0	2449
77000	69289	6346	1365	1000	950	50	0	2449
78000	70218	6407	1375	1000	962	38	0	2450
79000	71141	6471	1388	1000	952	48	0	2453
80000	72053	6551	1396	1000	952	45	3	2456
81000	72989	6611	1400	1000	941	54	5	2458
82000	73918	6671	1411	1000	967	33	0	2461
83000	74840	6737	1423	1000	947	48	5	2464
84000	75768	6804	1428	1000	948	46	6	2465
85000	76689	6872	1439	1000	967	33	0	2467
86000	77619	6939	1442	1000	965	35	0	2468
87000	78539	7014	1447	1000	952	48	0	2470
88000	79468	7079	1453	1000	960	40	0	2472
89000	80391	7146	1463	1000	964	36	0	2472
90000	81322	7202	1476	1000	958	40	2	2473
91000	82263	7254	1483	1000	974	26	0	2478
92000	83195	7316	1489	1000	959	37	4	2478
93000	84116	7381	1503	1000	964	36	0	2478
94000	85048	7440	1512	1000	970	30	0	2479
95000	85971	7508	1521	1000	975	25	0	2481
96000	86902	7569	1529	1000	954	46	0	2481
97000	87825	7636	1539	1000	947	53	0	2481
98000	88752	7698	1550	1000	977	23	0	2485
99000	89685	7759	1556	1000	968	32	0	2487
100000	90611	7826	1563	1000	966	34	0	2490
duration: 318.5s
