#of-trainings	p1-training-won	#p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss
1000	507	353	141	1000	462	471	67	10.509935017212849
2000	1110	632	259	1000	621	210	169	7.681807846363706
3000	1754	854	393	1000	617	202	181	5.921872665133441
4000	2401	1077	523	1000	846	62	92	4.069596323846882
5000	3063	1304	634	1000	827	89	84	2.754852756767286
6000	3730	1538	733	1000	503	361	136	2.2733263820679017
7000	4408	1776	817	1000	526	333	141	1.8163239227740544
8000	5046	2046	909	1000	556	318	126	1.7508661873892206
9000	5645	2329	1027	1000	506	373	121	1.4468774232895125
10000	6267	2599	1135	1000	571	312	117	1.4468774232895125
11000	6893	2875	1233	1000	539	345	116	1.4468774232895125
12000	7487	3162	1352	1000	523	363	114	1.4468774232895125
13000	8090	3452	1459	1000	524	364	112	1.4468774232895125
14000	8693	3744	1564	1000	513	387	100	1.4468774232895125
15000	9295	4040	1666	1000	531	349	120	1.4468774232895125
16000	9867	4350	1784	1000	521	353	126	1.2962917281814603
17000	10461	4632	1908	1000	534	314	152	1.2962917281814603
18000	11040	4937	2024	1000	554	313	133	1.2623922559466403
19000	11631	5229	2141	1000	553	283	164	1.1718894408166625
20000	12236	5513	2252	1000	521	312	167	1.1718894408166625
21000	12841	5783	2377	1000	693	187	120	1.1718894408166625
22000	13439	6056	2506	1000	704	165	131	1.1718894408166625
23000	14065	6311	2625	1000	753	157	90	1.1718894408166625
24000	14665	6580	2756	1000	716	174	110	1.1718894408166625
25000	15270	6858	2873	1000	608	286	106	1.1718894408166625
26000	15883	7102	3016	1000	561	332	107	1.1718894408166625
27000	16508	7360	3133	1000	567	325	108	1.1718894408166625
28000	17103	7643	3255	1000	559	341	100	1.1718894408166625
29000	17715	7913	3373	1000	580	316	104	1.1718894408166625
30000	18338	8175	3488	1000	552	339	109	1.1718894408166625
31000	18929	8448	3624	1000	548	329	123	1.1718894408166625
32000	19534	8713	3754	1000	505	352	143	1.1718894408166625
33000	20156	8989	3856	1000	528	334	138	1.1718894408166625
34000	20777	9266	3958	1000	537	341	122	1.1467216118361543
35000	21384	9541	4076	1000	539	350	111	1.1467216118361543
36000	21984	9817	4200	1000	550	334	116	0.8662892782216386
37000	22603	10077	4321	1000	595	303	102	0.8662892782216386
38000	23210	10362	4429	1000	561	337	102	0.8662892782216386
39000	23804	10639	4558	1000	551	341	108	0.8662892782216386
40000	24444	10885	4672	1000	541	352	107	0.8662892782216386
41000	25060	11154	4787	1000	553	325	122	0.8662892782216386
42000	25699	11408	4894	1000	560	329	111	0.8662892782216386
43000	26311	11666	5024	1000	595	297	108	0.8662892782216386
44000	26939	11914	5148	1000	624	279	97	0.8662892782216386
45000	27572	12174	5255	1000	614	275	111	0.8662892782216386
46000	28173	12440	5388	1000	589	300	111	0.8662892782216386
47000	28792	12701	5508	1000	583	308	109	0.8662892782216386
48000	29405	12971	5625	1000	588	314	98	0.8662892782216386
49000	30054	13214	5733	1000	564	323	113	0.8662892782216386
50000	30676	13478	5847	1000	593	297	110	0.8662892782216386
51000	31309	13742	5950	1000	600	293	107	0.8662892782216386
52000	31911	14015	6075	1000	585	295	120	0.8662892782216386
53000	32542	14263	6196	1000	588	295	117	0.8662892782216386
54000	33195	14502	6304	1000	638	278	84	0.8662892782216386
55000	33826	14752	6423	1000	632	291	77	0.8662892782216386
56000	34429	15033	6539	1000	618	300	82	0.8662892782216386
57000	35037	15297	6667	1000	603	304	93	0.8662892782216386
58000	35655	15568	6778	1000	644	262	94	0.8662892782216386
59000	36312	15788	6901	1000	652	257	91	0.8662892782216386
60000	36947	16035	7019	1000	642	260	98	0.8662892782216386
61000	37599	16277	7125	1000	641	269	90	0.8662892782216386
62000	38220	16551	7230	1000	647	276	77	0.8662892782216386
63000	38832	16812	7357	1000	651	263	86	0.8662892782216386
64000	39451	17071	7479	1000	649	266	85	0.8662892782216386
65000	40045	17348	7608	1000	627	296	77	0.8662892782216386
66000	40673	17592	7736	1000	641	282	77	0.8662892782216386
67000	41296	17858	7847	1000	634	283	83	0.8662892782216386
68000	41900	18130	7971	1000	625	300	75	0.8662892782216386
69000	42533	18392	8076	1000	625	312	63	0.8662892782216386
70000	43161	18668	8172	1000	648	260	92	0.8662892782216386
71000	43788	18935	8278	1000	634	291	75	0.8662892782216386
72000	44419	19197	8385	1000	662	255	83	0.8662892782216386
73000	45065	19440	8496	1000	636	282	82	0.8662892782216386
