#of-trainings	p1-training-won	#p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	q-table-size
1000	811	163	27	1000	869	125	6	985
2000	1629	319	53	1000	910	87	3	1178
3000	2476	453	72	1000	894	103	3	1302
4000	3328	583	90	1000	918	76	6	1382
5000	4189	697	115	1000	925	73	2	1486
6000	5063	798	140	1000	928	69	3	1540
7000	5926	909	166	1000	940	54	6	1590
8000	6812	1000	189	1000	941	57	2	1610
9000	7694	1103	204	1000	918	79	3	1655
10000	8578	1202	221	1000	915	77	8	1694
11000	9458	1298	245	1000	956	42	2	1726
12000	10353	1388	260	1000	935	54	11	1756
13000	11243	1489	269	1000	937	59	4	1787
14000	12160	1564	277	1000	953	47	0	1789
15000	13050	1656	295	1000	938	62	0	1828
16000	13971	1720	310	1000	946	54	0	1845
17000	14865	1808	328	1000	932	68	0	1880
18000	15768	1895	338	1000	957	43	0	1885
19000	16672	1981	348	1000	951	45	4	1921
20000	17575	2070	356	1000	925	69	6	1935
21000	18507	2128	366	1000	948	52	0	1942
22000	19414	2207	380	1000	934	66	0	1959
23000	20321	2283	397	1000	962	38	0	1973
24000	21224	2374	403	1000	959	41	0	1988
25000	22127	2457	417	1000	960	40	0	2006
26000	23056	2523	422	1000	957	43	0	2023
27000	23966	2601	434	1000	957	43	0	2040
28000	24896	2656	449	1000	973	27	0	2047
29000	25815	2724	462	1000	968	28	4	2056
30000	26732	2796	473	1000	943	57	0	2074
31000	27648	2872	481	1000	976	24	0	2088
32000	28556	2953	492	1000	973	27	0	2099
33000	29472	3030	499	1000	948	45	7	2119
34000	30387	3096	518	1000	960	40	0	2129
35000	31299	3173	529	1000	936	64	0	2131
36000	32230	3235	536	1000	977	23	0	2132
37000	33140	3310	551	1000	955	42	3	2146
38000	34049	3395	557	1000	967	30	3	2155
39000	34966	3471	564	1000	951	49	0	2165
40000	35865	3557	579	1000	959	35	6	2185
41000	36785	3625	591	1000	948	51	1	2195
42000	37719	3683	599	1000	968	32	0	2203
43000	38641	3749	611	1000	967	28	5	2206
44000	39562	3820	619	1000	972	28	0	2215
45000	40479	3886	636	1000	956	44	0	2220
46000	41393	3953	655	1000	971	29	0	2225
47000	42306	4027	668	1000	973	27	0	2234
48000	43221	4100	680	1000	975	25	0	2241
49000	44124	4186	691	1000	973	27	0	2243
50000	45058	4243	700	1000	967	33	0	2251
51000	45974	4319	708	1000	972	28	0	2252
52000	46892	4386	723	1000	969	31	0	2258
53000	47813	4457	731	1000	979	21	0	2258
54000	48738	4518	745	1000	950	48	2	2265
55000	49654	4592	755	1000	947	53	0	2272
56000	50574	4666	761	1000	958	42	0	2277
57000	51482	4751	768	1000	964	33	3	2285
58000	52418	4808	775	1000	949	51	0	2293
59000	53350	4868	783	1000	951	49	0	2302
60000	54282	4932	787	1000	962	38	0	2304
61000	55218	4988	795	1000	965	35	0	2312
62000	56134	5064	803	1000	966	34	0	2312
63000	57064	5126	811	1000	953	47	0	2317
64000	57984	5201	816	1000	960	40	0	2319
65000	58915	5263	823	1000	975	25	0	2323
66000	59839	5331	831	1000	965	33	2	2327
67000	60779	5382	840	1000	949	51	0	2328
68000	61695	5459	847	1000	968	28	4	2333
69000	62618	5526	857	1000	973	26	1	2336
70000	63534	5596	871	1000	953	47	0	2336
71000	64470	5648	883	1000	976	24	0	2341
72000	65411	5693	897	1000	971	29	0	2348
73000	66337	5762	902	1000	980	20	0	2350
74000	67279	5815	907	1000	977	23	0	2356
75000	68207	5877	917	1000	949	47	4	2361
76000	69133	5946	922	1000	976	24	0	2364
77000	70080	5994	927	1000	958	42	0	2369
78000	71018	6050	933	1000	969	31	0	2378
79000	71939	6115	947	1000	977	21	2	2379
80000	72882	6165	954	1000	956	44	0	2381
81000	73805	6233	963	1000	953	47	0	2387
82000	74729	6300	972	1000	968	32	0	2389
83000	75659	6358	984	1000	974	26	0	2389
84000	76578	6430	993	1000	958	42	0	2396
85000	77508	6490	1003	1000	950	50	0	2400
86000	78442	6553	1006	1000	963	37	0	2405
87000	79348	6638	1015	1000	957	41	2	2412
88000	80271	6702	1028	1000	956	42	2	2418
89000	81201	6766	1034	1000	988	12	0	2423
90000	82131	6826	1044	1000	964	36	0	2425
91000	83075	6873	1053	1000	958	42	0	2428
92000	84002	6939	1060	1000	957	43	0	2432
93000	84926	7010	1065	1000	970	30	0	2434
94000	85844	7081	1076	1000	981	19	0	2442
95000	86769	7149	1083	1000	984	16	0	2443
96000	87703	7211	1087	1000	966	34	0	2444
97000	88617	7285	1099	1000	970	30	0	2444
98000	89533	7365	1103	1000	980	20	0	2445
99000	90471	7419	1111	1000	981	19	0	2448
100000	91402	7484	1115	1000	968	32	0	2448
duration: 329.6s
